x,y1,y2,y3,y5,y7,y10,y15,y20,y50,y100,y1000,y10000
-6.2,0.0509019280317873,0.0125207656151098,0.00422685955878363,0.000796697247177653,0.000222626859989438,5.07268957808575e-05,8.49865267905649e-06,2.34076938354915e-06,5.34490439962094e-08,6.37567286103244e-09,4.1235551411937e-10,2.93468529930239e-10
-6.1,0.0517218898610335,0.0129187429371847,0.00442539756115375,0.000857145202058739,0.000245540768161193,5.78468853511801e-05,1.0160178492242e-05,2.90988981161083e-06,7.65067993565003e-08,1.00719728881268e-08,7.57009943843611e-10,5.49983441556596e-10
-6,0.0525684567112534,0.0133357366077124,0.00463635744614233,0.000923069144797007,0.000271129171001405,6.60544301773928e-05,1.21632727555193e-05,3.62184996520829e-06,1.09446974253999e-07,1.58624575140143e-08,1.37768458668874e-09,1.02080923646131e-09
-5.9,0.0534429322205492,0.0137729598397537,0.0048607086571114,0.000995043976420868,0.000299739858057862,7.55284085883431e-05,1.45812892502757e-05,4.51346917024093e-06,1.56462094517962e-07,2.49025035108682e-08,2.48545237471768e-09,1.87649697195778e-09
-5.8,0.0543467057322627,0.0142317226247142,0.00509951109447027,0.00107371296987485,0.000331770257417917,8.64790676710822e-05,1.75039271945481e-05,5.63125950478576e-06,2.23497508880045e-07,3.89655423750945e-08,4.44485726823067e-09,3.41633930688591e-09
-5.7,0.0552812593775089,0.0147134409849328,0.00535392490586052,0.00115979681092052,0.000367675107698647,9.91538311550577e-05,2.10409826442539e-05,7.03401500743581e-06,3.18969668480128e-07,6.07619300839477e-08,7.8794613730807e-09,6.16007062170718e-09
-5.6,0.0562481758633212,0.0152196472548894,0.00562522147678565,0.00125410394658832,0.000407975397571627,0.000113844230939502,2.53269791494255e-05,8.79609729317133e-06,4.54770916574233e-07,9.44154061263752e-08,1.38455914304682e-08,1.1000788729619e-08
-5.5,0.0572491470487002,0.0157520015209069,0.00591479578516426,0.00135754244477765,0.000453268793659923,0.000130894186747268,3.05268859156792e-05,1.10116043064768e-05,6.47671012733318e-07,1.46171072721469e-07,2.41153199315376e-08,1.94570702243803e-08
-5.4,0.0582859834018422,0.0163123043674874,0.00622418030755756,0.00147113360216297,0.000504241817578882,0.000150709904009433,3.68431808610764e-05,1.37996581715226e-05,9.21265984348191e-07,2.25441330661848e-07,4.16324230655842e-08,3.40838612984697e-08
-5.3,0.0593606244444595,0.0169025110994807,0.00655506069294838,0.00159602757685998,0.000561684080162531,0.000173771714935574,4.45245764054901e-05,1.73111098241929e-05,1.30867906166847e-06,3.4634184945336e-07,7.12391053192472e-08,5.91344109984702e-08
-5.2,0.0604751503036597,0.0175247476336164,0.00690929345256605,0.00173352136832395,0.000626504936846873,0.00020064825359621,5.3876800026324e-05,2.17370352708124e-05,1.85629065777383e-06,5.29933144833167e-07,1.20821622724115e-07,1.01614229339925e-07
-5.1,0.0616317945086547,0.0181813282810701,0.007288925952106,0.00188507952083752,0.00069975299431053,0.000232013434834879,6.5275912458364e-05,2.73194944429456e-05,2.62886994065851e-06,8.07470810033802e-07,2.03096304954643e-07,1.72939572160514e-07
-5,0.0628329581890012,0.0188747756753119,0.00769621903665115,0.00205235799002666,0.000782638976586412,0.000268666801378226,7.91847573110136e-05,3.43651428977109e-05,3.7166061236163e-06,1.2250867067519e-06,3.38362818232431e-07,2.91516330683132e-07
-4.9,0.0640812258535818,0.0196078431372549,0.00813367266967317,0.00223723168565026,0.000876562551006865,0.000311557916434256,9.61732707770952e-05,4.32624339610346e-05,5.24470122227818e-06,1.8504842268716e-06,5.58700434628985e-07,4.86702238215787e-07
-4.8,0.0653793829556702,0.0203835398135411,0.00860405502684538,0.00244182629019555,0.00098314382286764,0.000361815613562989,0.000116943543540569,5.45033299934414e-05,7.38639729285175e-06,2.78244500429198e-06,9.14290235251026e-07,8.04820963967423e-07
-4.7,0.066730435479808,0.0212051589746972,0.00911043555438565,0.00266855505357034,0.00110426033522801,0.000420783075261532,0.000142360724044804,6.871066267927e-05,1.03805812449525e-05,4.16422634588773e-06,1.48282950958309e-06,1.31817932621871e-06
-4.6,0.0681376318216244,0.0220763099190549,0.00965622258182352,0.00292016138165616,0.00124209055973159,0.000490059900479016,0.000173491088544371,8.66725506526587e-05,1.45554518044216e-05,6.20229442109925e-06,2.38338526423754e-06,2.13842026694404e-06
-4.5,0.0696044872730639,0.023000953997138,0.0102452061722267,0.00319976817316215,0.00139916503892131,0.000571552543402032,0.000211648884766999,0.000109385605868591,2.03601597024135e-05,9.19230577380775e-06,3.79653551324912e-06,3.43604892693923e-06
-4.4,0.0711348114738153,0.023983445351293,0.0108816070010468,0.00351093501781198,0.00157842654360867,0.000667534765701917,0.000258453888574267,0.000138109045459102,2.84068575672811e-05,1.35548374876333e-05,5.99329504106671e-06,5.46862315908124e-06
-4.3,0.0727327392463714,0.0250285770585458,0.0115701321801172,0.00385772455229029,0.00178330084388352,0.000780720046277682,0.000315902002387436,0.000174432280388532,3.95262331789023e-05,1.98840917570589e-05,9.37614083308012e-06,8.62092824468597e-06
-4.2,0.0744027652986172,0.0261416334731496,0.0123160390884696,0.00424477948153311,0.00201777996260998,0.000914348240133803,0.000386451674963132,0.000220359081561121,5.48403586772515e-05,2.90136774197933e-05,1.4536461082638e-05,1.34614789780848e-05
-4.1,0.0761497833559989,0.0273284496915157,0.0131252084392572,0.00467741201473803,0.00228652008856997,0.00107228917409599,0.000473129436966319,0.00027841203082867,7.58575733011379e-05,4.21046055210351e-05,2.2333960730855e-05,2.0820921333721e-05
-4,0.0779791303773693,0.0285954792089683,0.0140042280050731,0.00516170774041573,0.00259495667464841,0.00125916631236835,0.000579658424880558,0.000351761646564159,0.000104595123182017,6.07618221503808e-05,3.40049596043907e-05,3.18993344115697e-05
-3.9,0.07989663661717,0.0299498710081522,0.0149604886452705,0.0057046462746737,0.00294943963478764,0.00148050411714454,0.000710614400970439,0.000444385321815063,0.000143736389333995,8.71869148348667e-05,5.13080852673069e-05,4.84110294360969e-05
-3.8,0.0819086824248374,0.0313995575163594,0.0160022945313194,0.0063142413621509,0.00335739197936921,0.00174290326153982,0.000871614455242123,0.000561262007662042,0.000196830704820039,0.000124376017588907,7.67175259187104e-05,7.27771387209597e-05
