x,pdf_1,cdf_1,quantile_1,pdf_2,cdf_2,quantile_2,pdf_5,cdf_5,quantile_5,pdf_10,cdf_10,quantile_10,pdf_100,cdf_100,quantile_100
-12.92999999999999972,1.89261869635021e-03,0.02456902612063898,NaN,4.54420171727675e-04,0.002964132569668141,NaN,9.29519879237868e-06,2.46515411813352e-05,NaN,5.29326571463911e-08,7.21787071572661e-08,NaN, 1.11127841542007e-22,2.28310040575913e-23,NaN
-12.91999999999999815,1.89553212707347e-03,0.02458796686916555,NaN,4.55463636885045e-04,0.002968681986059925,NaN,9.33718926230018e-06,2.47447029383906e-05,NaN,5.33594155389171e-08,7.27101644209146e-08,NaN, 1.16694965957147e-22,2.39698904254395e-23,NaN
-12.91000000000000014,1.89845227675265e-03,0.02460693678557695,NaN,4.56510289634549e-04,0.002973241853031142,NaN,9.37940025041578e-06,2.48382857016409e-05,NaN,5.37899112028822e-08,7.32459079255767e-08,NaN, 1.22542146815922e-22,2.51658368224248e-23,NaN
-12.89999999999999858,1.90137916602229e-03,0.02462593593716589,NaN,4.57560142120381e-04,0.002977812202518397,NaN,9.42183307545776e-06,2.49322916828543e-05,NaN,5.42241794384816e-08,7.37859752201714e-08,NaN, 1.28683528148926e-22,2.64217139503621e-23,NaN
-12.89000000000000057,1.90431281559604e-03,0.02464496439143174,NaN,4.58613206542125e-04,0.002982393066579997,NaN,9.46448906499755e-06,2.50267231070307e-05,NaN,5.46622559033708e-08,7.43304042084036e-08,NaN, 1.35133970984695e-22,2.77405375067176e-23,NaN
-12.87999999999999901,1.90725324626705e-03,0.02466402221608146,NaN,4.59669495155055e-04,0.002986984477396537,NaN,9.50736955551139e-06,2.51215822124899e-05,NaN,5.51041766165264e-08,7.48792331523590e-08,NaN, 1.41909089823577e-22,2.91254755354468e-23,NaN
-12.87000000000000099,1.91020047890828e-03,0.02468310947903030,NaN,4.60729020270422e-04,0.002991586467271433,NaN,9.55047589244639e-06,2.52168712509613e-05,NaN,5.55499779621504e-08,7.54325006761346e-08,NaN, 1.49025290973021e-22,3.05798561517964e-23,NaN
-12.85999999999999943,1.91315453447292e-03,0.02470222624840269,NaN,4.61791794255761e-04,0.002996199068631505,NaN,9.59380943028729e-06,2.53125924876741e-05,NaN,5.59996966936199e-08,7.59902457695134e-08,NaN, 1.56499812839729e-22,3.21071756601660e-23,NaN
-12.84999999999999787,1.91611543399474e-03,0.02472137259253295,NaN,4.62857829535184e-04,0.003000822314027523,NaN,9.63737153262351e-06,2.54087482014477e-05,NaN,5.64533699374822e-08,7.65525077916733e-08,NaN, 1.64350768278726e-22,3.37111070850890e-23,NaN
-12.83999999999999986,1.91908319858844e-03,0.02474054857996615,NaN,4.63927138589683e-04,0.003005456236134786,NaN,9.68116357221699e-06,2.55053406847831e-05,NaN,5.69110351974949e-08,7.71193264749412e-08,NaN, 1.72597189104755e-22,3.53955091364238e-23,NaN
-12.82999999999999829,1.92205784945007e-03,0.02475975427945893,NaN,4.64999733957436e-04,0.003010100867753689,NaN,9.72518693107044e-06,2.56023722439552e-05,NaN,5.73727303587135e-08,7.76907419285844e-08,NaN, 1.81259072876715e-22,3.71644356309349e-23,NaN
-12.82000000000000028,1.92503940785734e-03,0.02477898975998030,NaN,4.66075628234105e-04,0.003014756241810290,NaN,9.76944300049623e-06,2.56998451991054e-05,NaN,5.78384936916253e-08,7.82667946426442e-08,NaN, 1.90357432071516e-22,3.90221453935575e-23,NaN
-12.80999999999999872,1.92802789517009e-03,0.02479825509071242,NaN,4.67154834073152e-04,0.003019422391356905,NaN,9.81393318118573e-06,2.57977618843350e-05,NaN,5.83083638563317e-08,7.88475254918124e-08,NaN, 1.99914345769853e-22,4.09731126628658e-23,NaN
-12.80000000000000071,1.93102333283057e-03,0.02481755034105151,NaN,4.68237364186139e-04,0.003024099349572660,NaN,9.85865888327939e-06,2.58961246477994e-05,NaN,5.87823799067772e-08,7.94329757393459e-08,NaN, 2.09953013982460e-22,4.30220380264818e-23,NaN
-12.78999999999999915,1.93402574236388e-03,0.02483687558060861,NaN,4.69323231343045e-04,0.003028787149764101,NaN,9.90362152643720e-06,2.59949358518030e-05,NaN,5.92605812950290e-08,8.00231870410292e-08,NaN, 2.20497814752264e-22,4.51738599135185e-23,NaN
-12.78000000000000114,1.93703514537834e-03,0.02485623087921039,NaN,4.70412448372574e-04,0.003033485825365757,NaN,9.94882253990993e-06,2.60941978728948e-05,NaN,5.97430078756042e-08,8.06182014491756e-08,NaN, 2.31574364174591e-22,4.74337666725063e-23,NaN
-12.76999999999999957,1.94005156356590e-03,0.02487561630690007,NaN,4.71505028162472e-04,0.003038195409940747,NaN,9.99426336261071e-06,2.61939131019643e-05,NaN,6.02296999098484e-08,8.12180614166744e-08,NaN, 2.43209579485059e-22,4.98072092647422e-23,NaN
-12.75999999999999801,1.94307501870245e-03,0.02489503193393820,NaN,4.72600983659842e-04,0.003042915937181359,NaN,1.00399454431874e-05,2.62940839443388e-05,NaN,6.07206980703639e-08,8.18228098010809e-08,NaN, 2.55431745372331e-22,5.22999146044939e-23,NaN
-12.75000000000000000,1.94610553264832e-03,0.02491447783080347,NaN,4.73700327871462e-04,0.003047647440909651,NaN,1.00858702400954e-05,2.63947128198814e-05,NaN,6.12160434454890e-08,8.24324898687504e-08,NaN, 2.68270583681139e-22,5.49178995791518e-23,NaN
-12.73999999999999844,1.94914312734858e-03,0.02493395406819366,NaN,4.74803073864108e-04,0.003052389955078052,NaN,1.01320392216715e-05,2.64958021630885e-05,NaN,6.17157775438307e-08,8.30471452990209e-08,NaN, 2.81757326679339e-22,5.76674857840857e-23,NaN
-12.73000000000000043,1.95218782483348e-03,0.02495346071702638,NaN,4.75909234764869e-04,0.003057143513769953,NaN,1.01784538662074e-05,2.65973544231902e-05,NaN,6.22199422988467e-08,8.36668201884348e-08,NaN, 2.95924794071717e-22,6.05553150087311e-23,NaN
-12.71999999999999886,1.95523964721884e-03,0.02497299784843999,NaN,4.77018823761481e-04,0.003061908151200329,NaN,1.02251156620248e-05,2.66993720642492e-05,NaN,6.27285800734846e-08,8.42915590550148e-08,NaN, 3.10807473952901e-22,6.35883655123743e-23,NaN
-12.71000000000000085,1.95829861670642e-03,0.02499256553379442,NaN,4.78131854102644e-04,0.003066683901716325,NaN,1.02720261075505e-05,2.68018575652619e-05,NaN,6.32417336648703e-08,8.49214068425783e-08,NaN, 3.26441607901111e-22,6.67739691299686e-23,NaN
-12.69999999999999929,1.96136475558439e-03,0.02501216384467208,NaN,4.79248339098355e-04,0.003071470799797889,NaN,1.03191867113926e-05,2.69048134202601e-05,NaN,6.37594463090555e-08,8.55564089251057e-08,NaN, 3.42865280425459e-22,7.01198292504970e-23,NaN
-12.68999999999999773,1.96443808622764e-03,0.02503179285287865,NaN,4.80368292120238e-04,0.003076268880058373,NaN,1.03665989924170e-05,2.70082421384126e-05,NaN,6.42817616858148e-08,8.61966111111517e-08,NaN, 3.60118512989980e-22,7.36340397124820e-23,NaN
-12.67999999999999972,1.96751863109826e-03,0.02505145263044404,NaN,4.81491726601873e-04,0.003081078177245153,NaN,1.04142644798244e-05,2.71121462441285e-05,NaN,6.48087239235045e-08,8.68420596483079e-08,NaN, 3.78243362849285e-22,7.73251046636066e-23,NaN
-12.66999999999999815,1.97060641274590e-03,0.02507114324962320,NaN,4.82618656039133e-04,0.003085898726240255,NaN,1.04621847132281e-05,2.72165282771612e-05,NaN,6.53403776039735e-08,8.74928012277134e-08,NaN, 3.97284026942795e-22,8.12019594337774e-23,NaN
-12.66000000000000014,1.97370145380821e-03,0.02509086478289701,NaN,4.83749093990518e-04,0.003090730562060976,NaN,1.05103612427327e-05,2.73213907927122e-05,NaN,6.58767677675317e-08,8.81488829886127e-08,NaN, 4.17286951107079e-22,8.52739924734760e-23,NaN
-12.64999999999999858,1.97680377701123e-03,0.02511061730297316,NaN,4.84883054077496e-04,0.003095573719860511,NaN,1.05587956290132e-05,2.74267363615373e-05,NaN,6.64179399179796e-08,8.88103525229682e-08,NaN, 4.38300944879416e-22,8.95510684119848e-23,NaN
-12.64000000000000057,1.97991340516983e-03,0.02513040088278707,NaN,4.86020549984841e-04,0.003100428234928586,NaN,1.06074894433947e-05,2.75325675700516e-05,NaN,6.69639400276910e-08,8.94772578801175e-08,NaN, 4.60377302179454e-22,9.40435522927711e-23,NaN
-12.62999999999999901,1.98303036118808e-03,0.02515021559550274,NaN,4.87161595460976e-04,0.003105294142692097,NaN,1.06564442679327e-05,2.76388870204378e-05,NaN,6.75148145427603e-08,9.01496475714865e-08,NaN, 4.83569928170961e-22,9.87623350463461e-23,NaN
