"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: chunk","Param: n"
"algebra.rapaio.MatrixDotBenchmark.testDotRC","avgt",1,5,1268.707254,499.285578,"ms/op",384,2000
"algebra.rapaio.MatrixDotBenchmark.testDotRC","avgt",1,5,1906.674647,308.364298,"ms/op",384,2500
"algebra.rapaio.MatrixDotBenchmark.testDotRC","avgt",1,5,0.006375,0.000759,"ms/op",512,100
"algebra.rapaio.MatrixDotBenchmark.testDotRC","avgt",1,5,0.028834,0.009481,"ms/op",512,250
"algebra.rapaio.MatrixDotBenchmark.testDotRC","avgt",1,5,0.095148,0.012588,"ms/op",512,500
"algebra.rapaio.MatrixDotBenchmark.testDotRC","avgt",1,5,80.885770,3.207381,"ms/op",512,750
"algebra.rapaio.MatrixDotBenchmark.testDotRC","avgt",1,5,182.404470,3.557418,"ms/op",512,1000
"algebra.rapaio.MatrixDotBenchmark.testDotRC","avgt",1,5,592.087492,23.540115,"ms/op",512,1500
"algebra.rapaio.MatrixDotBenchmark.testDotRC","avgt",1,5,1171.419437,143.946019,"ms/op",512,2000
"algebra.rapaio.MatrixDotBenchmark.testDotRC","avgt",1,5,2204.219239,199.860053,"ms/op",512,2500
