x,pdf,cdf,quantile
-39.02000000000000313, 0.00000000000000e+00, 0.00000000000000e+00,                NaN
-39.00999999999999801, 0.00000000000000e+00, 0.00000000000000e+00,                NaN
-39.00000000000000000, 0.00000000000000e+00, 0.00000000000000e+00,                NaN
-38.99000000000000199, 0.00000000000000e+00, 0.00000000000000e+00,                NaN
-38.97999999999999687, 0.00000000000000e+00, 0.00000000000000e+00,                NaN
-38.96999999999999886, 0.00000000000000e+00, 0.00000000000000e+00,                NaN
-38.96000000000000085, 0.00000000000000e+00, 0.00000000000000e+00,                NaN
-38.95000000000000284, 0.00000000000000e+00, 0.00000000000000e+00,                NaN
-38.93999999999999773, 0.00000000000000e+00, 0.00000000000000e+00,                NaN
-38.92999999999999972, 0.00000000000000e+00, 0.00000000000000e+00,                NaN
-38.92000000000000171, 0.00000000000000e+00, 0.00000000000000e+00,                NaN
-38.90999999999999659, 0.00000000000000e+00, 0.00000000000000e+00,                NaN
-38.89999999999999858, 0.00000000000000e+00, 0.00000000000000e+00,                NaN
-38.89000000000000057, 0.00000000000000e+00, 0.00000000000000e+00,                NaN
-38.88000000000000256, 0.00000000000000e+00, 0.00000000000000e+00,                NaN
-38.86999999999999744, 0.00000000000000e+00, 0.00000000000000e+00,                NaN
-38.85999999999999943, 0.00000000000000e+00, 0.00000000000000e+00,                NaN
-38.85000000000000142, 0.00000000000000e+00, 0.00000000000000e+00,                NaN
-38.84000000000000341, 0.00000000000000e+00, 0.00000000000000e+00,                NaN
-38.82999999999999829, 0.00000000000000e+00, 0.00000000000000e+00,                NaN
-38.82000000000000028, 0.00000000000000e+00, 0.00000000000000e+00,                NaN
-38.81000000000000227, 0.00000000000000e+00, 0.00000000000000e+00,                NaN
-38.79999999999999716, 0.00000000000000e+00, 0.00000000000000e+00,                NaN
-38.78999999999999915, 0.00000000000000e+00, 0.00000000000000e+00,                NaN
-38.78000000000000114, 0.00000000000000e+00, 0.00000000000000e+00,                NaN
-38.77000000000000313, 0.00000000000000e+00, 0.00000000000000e+00,                NaN
-38.75999999999999801, 0.00000000000000e+00, 0.00000000000000e+00,                NaN
-38.75000000000000000, 0.00000000000000e+00, 0.00000000000000e+00,                NaN
-38.74000000000000199, 0.00000000000000e+00, 0.00000000000000e+00,                NaN
-38.72999999999999687, 0.00000000000000e+00, 0.00000000000000e+00,                NaN
-38.71999999999999886, 0.00000000000000e+00, 0.00000000000000e+00,                NaN
-38.71000000000000085, 0.00000000000000e+00, 0.00000000000000e+00,                NaN
-38.70000000000000284, 0.00000000000000e+00, 0.00000000000000e+00,                NaN
-38.68999999999999773, 0.00000000000000e+00, 0.00000000000000e+00,                NaN
-38.67999999999999972, 0.00000000000000e+00, 0.00000000000000e+00,                NaN
-38.67000000000000171, 0.00000000000000e+00, 0.00000000000000e+00,                NaN
-38.65999999999999659, 0.00000000000000e+00, 0.00000000000000e+00,                NaN
-38.64999999999999858, 0.00000000000000e+00, 0.00000000000000e+00,                NaN
-38.64000000000000057, 0.00000000000000e+00, 0.00000000000000e+00,                NaN
-38.63000000000000256, 0.00000000000000e+00, 0.00000000000000e+00,                NaN
-38.61999999999999744, 0.00000000000000e+00, 0.00000000000000e+00,                NaN
-38.60999999999999943, 0.00000000000000e+00, 0.00000000000000e+00,                NaN
-38.60000000000000142, 0.00000000000000e+00, 0.00000000000000e+00,                NaN
-38.59000000000000341, 0.00000000000000e+00, 0.00000000000000e+00,                NaN
-38.57999999999999829, 0.00000000000000e+00, 0.00000000000000e+00,                NaN
-38.57000000000000028, 0.00000000000000e+00, 0.00000000000000e+00,                NaN
-38.56000000000000227,4.94065645841247e-324, 0.00000000000000e+00,                NaN
-38.54999999999999716,9.88131291682493e-324, 0.00000000000000e+00,                NaN
-38.53999999999999915,9.88131291682493e-324, 0.00000000000000e+00,                NaN
-38.53000000000000114,1.97626258336499e-323, 0.00000000000000e+00,                NaN
-38.52000000000000313,2.47032822920623e-323, 0.00000000000000e+00,                NaN
-38.50999999999999801,3.95252516672997e-323, 0.00000000000000e+00,                NaN
-38.50000000000000000,5.43472210425371e-323, 0.00000000000000e+00,                NaN
-38.49000000000000199,7.90505033345994e-323, 0.00000000000000e+00,                NaN
-38.47999999999999687,1.18575755001899e-322, 0.00000000000000e+00,                NaN
-38.46999999999999886,1.72922976044436e-322, 0.00000000000000e+00,                NaN
-38.46000000000000085,2.51973479379036e-322, 0.00000000000000e+00,                NaN
-38.45000000000000284,3.70549234380935e-322, 0.00000000000000e+00,                NaN
-38.43999999999999773,5.48412866883784e-322, 0.00000000000000e+00,                NaN
-38.42999999999999972,8.00386346262819e-322, 0.00000000000000e+00,                NaN
-38.42000000000000171,1.17587623710217e-321, 0.00000000000000e+00,                NaN
-38.40999999999999659,1.72428910398595e-321, 0.00000000000000e+00,                NaN
-38.39999999999999858,2.53455676316559e-321, 0.00000000000000e+00,                NaN
