x,y1,y2,y3,y5,y7,y10,y15,y20,y50,y100,y1000,y10000
0.013,-24.4717607780902,-6.08014178078991,-4.11494590835303,-3.12854830066936,-2.81389787869566,-2.61091356509519,-2.46997168916986,-2.4045238022763,-2.29445356353226,-2.25984106935214,-2.22953137072548,-2.22654330086719
0.014,-22.7217577849403,-5.84990470911847,-4.00046149296032,-3.06319199019795,-2.76237460615098,-2.56771908659266,-2.43225094150876,-2.36925158403183,-2.26315721617592,-2.22975654091411,-2.20049236922425,-2.19760657001899
0.015,-21.2049487896888,-5.64277835348256,-3.8960459342964,-3.0028749738418,-2.71457301127878,-2.52748424400286,-2.39700503784279,-2.33624215970226,-2.23378655762478,-2.20149690107717,-2.17319207984617,-2.17040016237024
0.016,-19.8776099027283,-5.45510128973797,-3.80021099145965,-2.94689920698784,-2.66999330154369,-2.48982122105699,-2.36391605600135,-2.30520778160709,-2.20610122406943,-2.17483579790681,-2.14741606649856,-2.14471079854498
0.017,-18.7063052075011,-5.28397688345294,-3.71176509394081,-2.89469996878293,-2.62822922814918,-2.45441363546973,-2.33272388376634,-2.27591268207119,-2.17990375215302,-2.14958711504833,-2.1229878704774,-2.12036295775623
0.018,-17.665028990207,-5.12707935838991,-3.62974068392653,-2.84581422027242,-2.58894621196394,-2.42100002909916,-2.30321298297935,-2.24816122933443,-2.15502988922987,-2.12559591078711,-2.09976048096703,-2.09721039972601
0.019,-16.7332504232875,-4.98251678066484,-3.55334230558027,-2.79985777819473,-2.55186549361601,-2.38936186367811,-2.27520273933547,-2.22178928010841,-2.13134150097633,-2.10273178030517,-2.07761008185048,-2.07512994871943
0.02,-15.8945448438653,-4.84873221385061,-3.48190876032121,-2.75650852190947,-2.51675242413327,-2.35931462373654,-2.24854029161067,-2.19665774555268,-2.10872128189626,-2.08088390133707,-2.05643138105745,-2.05401685036396
0.021,-15.1356160954864,-4.72443108102448,-3.41488501857947,-2.71549382216042,-2.48340766481442,-2.33070110960092,-2.22309511289734,-2.17264772328357,-2.0870687443623,-2.05995727454841,-2.03613406383916,-2.03378124554779
0.022,-14.4455855039325,-4.60852689815688,-3.35180103732361,-2.67658098316774,-2.45166047153435,-2.30338630424456,-2.19875485387382,-2.14965675880831,-2.06629713175447,-2.03986982806527,-2.0166400595242,-2.01434545289627
0.023,-13.815466337604,-4.50010012794127,-3.29225555492264,-2.63956987384199,-2.42136349885891,-2.27725339091241,-2.17542211092771,-2.12759593557553,-2.04633101097529,-2.02055015774914,-1.99788140711613,-1.99564184651782
0.024,-13.2377696528077,-4.39836656217971,-3.23590353234576,-2.60428717484569,-2.39238872985054,-2.25220062538826,-2.15301188260411,-2.1063875823916,-2.02710437213123,-2.00193574237852,-1.97979856849538,-1.97761117871072
0.025,-12.7062047361747,-4.30265272974946,-3.18244630528371,-2.57058183563632,-2.36462425159278,-2.22813885198627,-2.13144954555978,-2.08596344726586,-2.00855911210076,-1.98397151852355,-1.96233908082641,-1.96020123989063
0.026,-12.2154486757518,-4.2123765564532,-3.13162377892159,-2.53832144949526,-2.33797167436223,-2.20498951065424,-2.11066922762816,-2.06626322814413,-1.99064381235564,-1.9666087312935,-1.94545646926389,-1.94336577730831
0.027,-11.7609671385165,-4.12703200049534,-3.08320818076768,-2.50738933337749,-2.3123440464747,-2.18268302316531,-2.09061248798196,-2.04723337989278,-1.97331274493728,-1.94980399910944,-1.92910936170542,-1.927063614653
0.028,-11.3388735527103,-4.0461767323393,-3.03699901530606,-2.47768215487091,-2.28766415500458,-2.16115747508317,-2.07122723732541,-2.02882613739616,-1.95652505721116,-1.93351854627442,-1.91326076202793,-1.91125792923661
