x,y1,y2,y3,y5,y7,y10,y15,y20,y50,y100,y1000,y10000
-1.4,0.10753712371074,0.12689871404788,0.134461716820481,0.140739547894914,0.143420491677622,0.145394875660006,0.14689277894673,0.147624713854038,0.148905492533548,0.149320038919019,0.149687060560057,0.14972342859681
-1.3,0.118330812707729,0.141078375689798,0.150389085907536,0.158476735728983,0.162092955089521,0.16485069296802,0.167015407266293,0.168102161729108,0.170061998490267,0.170715461849906,0.171303301883985,0.171362063302293
-1.2,0.1304548713868,0.156733681981742,0.167801587357497,0.177658613464936,0.182168574189739,0.185663893626703,0.188448517261122,0.189862149671391,0.192441782452711,0.193311504366291,0.194098384399826,0.194177285779262
-1.1,0.144031622707598,0.173877125291573,0.186637029385456,0.198138590803346,0.203456054014794,0.207605913164214,0.210932311335266,0.212628548772633,0.215738206954067,0.216791071737926,0.217745694215759,0.217841525020317
-1,0.159154943091895,0.192450089729875,0.206748335783172,0.219679797350981,0.225674920275458,0.230361989229139,0.23412477288673,0.236045649126701,0.23957106205869,0.240765896928546,0.241849789552338,0.241958626487008
-0.9,0.175861815571155,0.212295368780033,0.227883065873806,0.24194434361359,0.24845006240501,0.253529950559827,0.257603803396624,0.259681943165485,0.263493179771119,0.264784039382843,0.265954660827239,0.266072186299658
-0.799999999999999,0.194091394014507,0.233127823824494,0.249665904822089,0.264488356807958,0.271312505116543,0.276625132338257,0.280875100325164,0.283039350160115,0.287001769875082,0.288341815501446,0.289556141662107,0.289678007271249
-0.699999999999999,0.213630796096504,0.254507731134329,0.271588359088247,0.286765457576698,0.293708134519167,0.299092417736853,0.303386246062947,0.305568112301871,0.309554339053883,0.310899922181503,0.312118152871505,0.312240351522895
-0.6,0.234051386899846,0.275823963942423,0.293010679964813,0.30814100972342,0.315015547159282,0.320325810529125,0.324546929575174,0.326687088956205,0.330588659950008,0.331903161512453,0.333092147339281,0.333211354227038
-0.5,0.254647908947033,0.296296296296296,0.313180911008829,0.327918531322747,0.334573253350165,0.339695136352078,0.343754570263132,0.345808612383742,0.349545860465179,0.35080283339233,0.351938830615914,0.352052674689817
-0.399999999999999,0.274405074296372,0.315006396962857,0.331274372349258,0.345378075752734,0.351715215314911,0.356578533697904,0.360423931780788,0.362366509669362,0.365895349098293,0.367080569202626,0.368150989485867,0.368258223295472
-0.299999999999999,0.292027418517239,0.330963858309127,0.346453574274542,0.35982432834901,0.365812300780188,0.370398461552746,0.374018696345112,0.375845416768084,0.379160022696889,0.380272167904157,0.381276095473381,0.381376641921955
-0.199999999999999,0.306067198253645,0.343205902948042,0.357943794638456,0.37063997771397,0.376315935269964,0.380658181054449,0.384082518126786,0.385809186074119,0.388940056211505,0.389989894153924,0.390937283243678,0.391032151608077
